Semester,Dept, CourseCode, CourseTitle, Credits, L, T, P
6,BME, ENME 352, Heat and Mass Transfer,3,3,1,1.5
6,BME, ENME 353, Machine Design I,3,3,1,1.5
6,BME, ENME 354, Machine Dynamics,3,3,1,1.5
6,BME, ENME 355, Minor Project,1,0,0,0
6,BME, ENME 365-384, Elective I,3,3,2,1
7,BME, ENME 411, Enterpreneurship Development,2,2,0,0
7,BME, ENME 412, Finite Element Method,3,3,1,1.5
7,BME, ENME 413, Applied Computational Fluid Dynamics,3,3,1,1.5
7,BME, ENME 414, Energy Resources and Technology,3,3,1,1.5
7,BME, ENME 415, Machine Design II,3,3,1,1.5
7,BME, ENME 425-444, Elective II,3,3,2,1
7,BME, ENME 416, Project I,2,0,0,0
8,BME, ENME 463, Project Management and Professional Practice,3,3,1,0
8,BME, ENME 465-474, Elective III,3,3,2,1
8,BME, ENME 461, Project II,4,0,0,0
8,BME, ENME 462, Industrial Attachment,4,0,0,0
1,BIE, ENSH 101, Engineering Mathematics I,3,3,2,0
1,BIE, ENSH 102, Engineering Physics,4,4,1,2
1,BIE, ENCT 101, Computer Programming,3,3,1,3
1,BIE, ENEX 101, Fundamental of Electrical and Electronics Engineering,3,3,1,3
1,BIE, ENME 101, Engineering Drawing,2,2,0,4
1,BIE, ENME 103, Engineering Mechanics I,3,3,1,0
2,BIE, ENSH 151, Engineering Mathematics II,3,3,2,0
2,BIE, ENSH 153, Engineering Chemistry,3,3,1,3
2,BIE, ENME 152, Machine Drawing,2,2,4,0
2,BIE, ENME 153, Engineering Mechanics II,3,3,1,0
2,BIE, ENME 151, Engineering Thermodynamics I,3,3,1,1.5
2,BIE, ENME 155, Workshop Technology,3,3,1,3
3,BIE, ENSH 201, Engineering Mathematics III,3,3,2,0
3,BIE, ENME 202, Manufacturing and Production Processes,3,3,1,3
3,BIE, ENIE 202, Industrial Management,3,3,1,0
3,BIE, ENME 201, Material Science,3,3,1,1.5
3,BIE, ENME 205, Strength of Materials,3,3,1,1.5
